"","V1"
"1",1.84586507225381
"2",2.75882114100122
"3",3.67963436751898
"4",4.59062170570054
"5",5.50573129020374
"6",6.43283063230103
"7",7.35288986875583
"8",8.27047884288779
"9",9.19410824453825
"10",10.1030722957841
"11",11.0231036955334
"12",11.9586120269449
"13",12.8655201749898
"14",13.7781362156835
"15",14.7042851921649
"16",15.6217580425528
